"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Shardlow M.; Sellar S.; Rousell D.","Shardlow, Matthew (57190166261); Sellar, Sam (28767966400); Rousell, David (56229970700)","57190166261; 28767966400; 56229970700","Collaborative augmentation and simplification of text (CoAST): pedagogical applications of natural language processing in digital learning environments","2022","Learning Environments Research","25","2","","399","421","22","10.1007/s10984-021-09368-9","https://www.scopus.com/pages/publications/85106506943?origin=resultslist","The digitisation of higher education is raising significant questions about the impact of artificial intelligence and automation on teaching and learning environments, highlighting the need to investigate how teachers and students can work with new educational technologies in complementary ways. This paper reports results from a pilot study of the collaborative augmentation and simplification of text (CoAST) system, which is online software designed to facilitate the engagement of university students with theoretically-sophisticated academic texts. CoAST offers a digital learning interface that uses natural language processing algorithms to identify words that can be difficult to understand for readers at different ability levels. Course lecturers use their pedagogical content knowledge to add brief annotations to identified words. The software was trialed using a quasi-experimental design with (1) 23 undergraduate Education Studies students and (2) 23 digital and technology solutions students. Results suggest that CoAST offers a digital learning environment that can effectively mediate and enhance pedagogical relationships between teachers, students, and complex theoretical texts. © 2021, Crown.","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85106506943"
"Sherren K.; Parkins J.R.; Smit M.; Holmlund M.; Chen Y.","Sherren, Kate (14619599400); Parkins, John R. (7004703788); Smit, Michael (22235288500); Holmlund, Mona (56750158400); Chen, Yan (57195263645)","14619599400; 7004703788; 22235288500; 56750158400; 57195263645","Digital archives, big data and image-based culturomics for social impact assessment: Opportunities and challenges","2017","Environmental Impact Assessment Review","67","","","23","30","44","10.1016/j.eiar.2017.08.002","https://www.scopus.com/pages/publications/85027580428?origin=resultslist","Social impact assessment (SIA) is well-established but uses conventional approaches that have become less effective in recent decades, particularly in relation to declining survey response rates and a lack of youth engagement. Images from digital archives and social media sources are poised to advance the research and practice of SIA by transcending text-based methods with insights into changing landscapes, and human engagement with them. This viewpoint describes progress, challenges and cautions toward the development of such tools (defined as culturomics), using hydroelectricity cases to illustrate potential approaches. These tools build on foundational work in a range of disciplines, including the humanities and computer science. We describe necessary advances in machine learning, image digitization, and data aggregation and visualization techniques, as well as ways to ensure that such tools are carefully tested, applied and interpreted. Challenges include the automation, acquisition and management of datasets, and using these tools appropriately and equitably. Critically, culturomics of any kind must not be used as a replacement for engagement with people, but as complementary to inclusive stakeholder engagement. © 2017 Elsevier Inc.","Article","Final","","Scopus","2-s2.0-85027580428"
"Lievano-Martínez F.A.; Fernández-Ledesma J.D.; Burgos D.; Branch-Bedoya J.W.; Jimenez-Builes J.A.","Lievano-Martínez, Federico A. (57853900300); Fernández-Ledesma, Javier D. (56300441900); Burgos, Daniel (8937994100); Branch-Bedoya, John W. (55366608100); Jimenez-Builes, Jovani A. (57215123908)","57853900300; 56300441900; 8937994100; 55366608100; 57215123908","Intelligent Process Automation: An Application in Manufacturing Industry","2022","Sustainability (Switzerland)","14","14","8804","","","48","10.3390/su14148804","https://www.scopus.com/pages/publications/85136418803?origin=resultslist","Background: The intelligent processes automation has been cataloged as one of the most potential and strategic technology solutions to develop a corporate digital transformation. Method: This paper introduces essential concepts to create Intelligent Process Automation (IPA) in industries and proposes a framework to implement IPA technologies successfully. The approach involves: firstly, assembling a good implementation setup and deeply researching the process using process mining techniques. Secondly, choosing and locating the best AI technology inside the IPA. Finally, defining an appropriate architecture of the IPA. Results: The paper illustrates an IPA use case in the manufacturing industry, where it is possible to automate the process of sending production orders to a manufacturing plant and optimize waste and plant capacity significantly. Conclusions: The research depicts the potential of intelligent process automation and its quantifiable benefits in the manufacturing process, and the contribution can be applied to different enterprises with a global context. © 2022 by the authors.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85136418803"
"Ding W.; Liu J.; Zhu W.; Liao W.","Ding, Weilong (44661251000); Liu, Jinlong (57216993962); Zhu, Wei (57102285900); Liao, Wanyin (58917299800)","44661251000; 57216993962; 57102285900; 58917299800","Review of Quality Control Algorithms for Pathological Slides Based on Deep Learning; [基于深度学习的病理切片质量控制算法综述]","2024","Computer Science","51","10","","276","286","1","10.11896/jsjkx.231000167","https://www.scopus.com/pages/publications/105020316877?origin=resultslist","Pathological sections are an important basis for pathologists to diagnose and analyze the course and prognosis of tumor patients. However!due to the low degree of automation in the preparation process of slides, both human operation and equipment noise will reduce the quality of the slides,thereby affecting diagnosis. Currently,the quality control of pathological slides mainly uses manual sampling inspection,which has the characteristics of high work intensity and long working hours,and can easily lead to evaluation bias due to visual fatigue. Quality control of pathological slides using deep learning technology attracts attention from the medical and engineering communities and makes certain progress. This paper reviews the research status in this field. First,the production and digitization process of pathological slides is briefly introduced,and the difficulties and challenges in quality control work are analyzed. Then, the existing work related to the quality control of pathological slides is analyzed and summarized, and the method theory and application status of the existing work are reviewed from aspects such as staining standardization, focus quality assessment,artifact detection,image repair and reconstruction. Finally,the possible future research hotspots in this field are prospected. © 2024 Editorial office of Computer Science. All rights reserved.","Review","Final","","Scopus","2-s2.0-105020316877"
"Eidenmüller H.; Wagner G.","Eidenmüller, Horst (16428027200); Wagner, Gerhard (35486387200)","16428027200; 35486387200","Law by Algorithm","2021","Law by Algorithm","","","","1","285","14","10.1628/978-3-16-157509-9","https://www.scopus.com/pages/publications/105021394611?origin=resultslist","Digitization, blockchain technology and Artificial Intelligence (AI) are fundamentally changing the fabric of societies, influencing lawmaking, legal scholarship and legal practice. The authors of this volume investigate the real-world developments that can be observed in this process, how established legal doctrines are being challenged, the regulatory issues societies face as a result, and how AI can be used in lawmaking and adjudication. By analyzing these four interrelated areas, the authors discuss conceptual issues of regulating AI, examine the impact of new technologies on commercial transactions and corporate governance, investigate civil liability rules for AI applications and explore key features and problems of digital dispute resolution. A recurring theme is that although Law by Algorithm might massively increase overall societal welfare, it runs the significant risk of benefitting only a few. To make it work for the good of all is a mammoth task-and one this volume hopes to contribute to. AI's capabilities have made enormous recent leaps; many expect it to transform how the economy operates. In particular, activities relying on human knowledge to create value, insulated until now from mechanisation, are facing dramatic change. This is impacting the legal system in two directions simultaneously: the automation of processes, and the development of legal governance for automation. Eidenmueller and Wagner here present a thought-provoking and insightful treatment of a number of key issues that are engaged. It will be essential reading for lawyers, scholars, and policymakers wishing to understand and participate in these developments. (John Armour) AI has the potential for ground-breaking changes to our economy and society, but also to its private law framework. This book provides an extremely thought-provoking contribution to the thinking towards the private law for the digital economy. (Dirk Staudenmayer). © 2021 Mohr Siebeck Tübingen, Germany. All rights reserved.","Book","Final","","Scopus","2-s2.0-105021394611"
"Degryse C.","Degryse, Christophe (36182253300)","36182253300","Aligning the digital economy with a reinvented social model; [Conformer l'économie digitale à un modèle social réinventé]","2017","Reflets et Perspectives de la Vie Economique","56","3","","47","56","0","10.3917/rpve.563.0047","https://www.scopus.com/pages/publications/85049593268?origin=resultslist","A ""social"" approach to analyzing the so-called ""digitization of the economy"" makes it possible to observe two distinct but linked developments, both of which will potentially have a significant impact on the future of work and employment. First, there is the impressive progress in artificial intelligence and robotization (the automation process and computerization of tasks), which now allows robots to perform non-routine manual and cognitive tasks. Second, there is the emergence of a new business model, that of digital platforms, made possible mainly by the generalization of networks, smartphones and tablets, and the development of mobile applications. The social issues related to this digitization of the economy are often only presented in terms of the risk of job destruction through automation. However, other issues also exist that concern the transformation of existing jobs and the displacement of work, notably through the phenomenon of online outsourcing. © De Boeck Supérieur.","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85049593268"
"Boltsi A.; Kalovrektis K.; Xenakis A.; Chatzimisios P.; Chaikalis C.","Boltsi, Angeliki (58835658000); Kalovrektis, Konstantinos (12242768600); Xenakis, Apostolos (55608777700); Chatzimisios, Periklis (57193396103); Chaikalis, Costas (6506869852)","58835658000; 12242768600; 55608777700; 57193396103; 6506869852","Digital Tools, Technologies, and Learning Methodologies for Education 4.0 Frameworks: A STEM Oriented Survey","2024","IEEE Access","12","","","12883","12901","43","10.1109/ACCESS.2024.3355282","https://www.scopus.com/pages/publications/85182949306?origin=resultslist","The correlation between learning and teaching technologies is multidimensional and complex, thus, the digital tools that can help students turning information into knowledge define the crucial role of pedagogical practice. Open access to hardware and software tools is a focal point for advancing learning. In sciences, lab-based experiments constitute a vital part of curricula that bridge the gap between theory and practice. Access to remote lab tools is possible by pairing simulators, emulators and actual equipment, located in various geographical locations. Under this premise, Education 4.0 defines a new learning framework aligned with the fourth industrial revolution digital requirements. These constitute smart sensors, Artificial Intelligence (AI) and Robotics. In this context, University graduates need to prepare themselves with complex problem solving and interdisciplinary problems. To this end, contemporary Science, Technology, Engineering and Mathematics (STEM) teaching practices should be present along the way. Digitally competent students need to learn from a modern and adjustable curriculum tailored to cover necessary skills related to Internet of Things (IoT). Therefore, the digitization of University campuses, including smart IoT, Information and Communication Technology (ICT) and Fifth Generation (5G) automation infrastructures is necessary. In this work, we carry out an extensive STEM oriented survey which highlights and categorizes all contemporary digital tools and technologies needed to support future graduates. Moreover, we focus on contemporary pedagogical and didactic approaches to support Education 4.0 skills. We match contemporary methods with lab types, expected learning outcomes and open software and hardware tools, as imposed by the Education 4.0 framework. Our scenarios mainly focus on University education and consider smart sensors, IoT, 5G technologies, which are the basic building components for students' digital competencies to meet Education 4.0 requirements.  © 2013 IEEE.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85182949306"
"Visalli F.; Patrizio A.; Ruffolo M.","Visalli, Francesco (57216322397); Patrizio, Antonio (57222724270); Ruffolo, Massimo (8951963200)","57216322397; 57222724270; 8951963200","A two step fine-tuning approach for text recognition on identity documents","2021","ICAART 2021 - Proceedings of the 13th International Conference on Agents and Artificial Intelligence","2","","","837","844","2","","https://www.scopus.com/pages/publications/85103822894?origin=resultslist","Manually extracting data from documents for digitization is a long, tedious and error-prone job. In recent years, technologies capable of automating these processes are gaining ground and managing to obtain surprising results. Research in this field is driven by the strong interest of organizations that have identified how the automation of data entry leads to a reduction in working time and a speed-up of business processes. Documents of interest are heterogeneous in format and content. These can be natively machine readable or not when they are images obtained by scanning paper. Documents in image format require pre-processing before applying information extraction. A typical pre-processing pipeline consists of two steps: text detection and text recognition. This work proposes a two step fine-tuning approach for text recognition in Italian identity documents based on Scene Text Recognition networks. Experiments show promising results. © 2021 by SCITEPRESS - Science and Technology Publications, Lda.","Conference paper","Final","","Scopus","2-s2.0-85103822894"
"Bendel O.","Bendel, Oliver (55951668200)","55951668200","Are robot tax, basic income or basic property solutions to the social problems of automation?","2019","CEUR Workshop Proceedings","2448","","","","","0","","https://www.scopus.com/pages/publications/85074598391?origin=resultslist","Automation is advancing relentlessly. Already decades ago, digitization was its partner. In the industry, innovative robots, for example co-robots, are used. Service robots begin to spread in various areas. Systems of artificial intelligence perform tasks of all sorts, even creative activities. The studies on the development of the labor market reach different results. In any case, it can be said that certain jobs will disappear and many people will have to do without their familiar work. It can also be assumed that in many areas less human work has to be performed on behalf (e.g., for customers and employers). As possible solutions to economic and social problems, an unconditional basic income and a robot tax are suggested. This paper presents, discusses and criticizes these approaches in the context of automation and digitization. Moreover, it develops a relatively unknown proposal, unconditional basic property, and presents its potentials as well as its risks. © 2019 CEUR-WS. All rights reserved.","Conference paper","Final","","Scopus","2-s2.0-85074598391"
"Fuentes J.; Aguilar J.; Montoya E.; Hoyos W.; Benito D.","Fuentes, Jairo (58449759600); Aguilar, Jose (55434810600); Montoya, Edwin (24824872900); Hoyos, William (57848975800); Benito, Diego (59214468800)","58449759600; 55434810600; 24824872900; 57848975800; 59214468800","Explainability Analysis of the Evaluation Model of the Level of Digital Transformation in MSMEs based on Fuzzy Cognitive Maps","2023","CLEI Eletronic Journal (CLEIej)","27","2","","","","3","10.19153/cleiej.27.2.2","https://www.scopus.com/pages/publications/85200855403?origin=resultslist","the concept of digital transformation involves exploiting digital technologies to generate new ways of doing things in organizations, including the creation of new processes, models, and services that produce value based on the digitization of data and processes. The application of digital technologies enables organizations to develop capabilities for innovation, automation, etc., utilizing both established and emerging technologies, including the widespread use of artificial intelligence. This article proposes the implementation of Fuzzy Cognitive Maps (FCMs) based on experts and data for the evaluation of the level of digital transformation in MSMEs (Micro, Small and Medium Enterprises). Additionally, this work carries out an explainability analysis of the evaluation models based on FCMs. The main digital transformation variables used to define our FCMs were classified into five groups, based on the COBIT standard: i) Organization and Culture variables related to strategies, way of working, and ecosystems, ii) Customer variables related to services and digital channels and products, iii) Operations and Internal Processes variables related to supply chain, suppliers, and business model, iv) Information Technologies variables related to innovation, digitization, data and analytic. Finally, the fifth type of variable is the target, which indicates the level of digital transformation of the organization. Our model managed to infer the level of digital transformation of the organizations studied. Furthermore, the explanatory capacity of the FCMs developed in this work was explored using different explainability methods, some general and others specific to the FCMs. In general, the results obtained in the work are very encouraging since the quality metrics obtained with the prediction methods are very good, almost always higher than 98%; and the variability in the explainability techniques (very different between them), allow us to analyze in depth the behavior of the variables in the results obtained, something very important to understand how to improve the levels of digital transformation in organizations. © 2023 Latin American Center for Informatics Studies. All rights reserved.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85200855403"
"Abdurrahman A.P.; Yousif K.A.; Sani A.A.; Al-Absy M.S.M.; Abubakar A.H.","Abdurrahman, Adamu Pantamee (57214819691); Yousif, Kamal Aldin (59509456300); Sani, Armayau Alhaji (57214670012); Al-Absy, Mujeeb Saif Mohsen (57191668511); Abubakar, Ahmad Haruna (59497352900)","57214819691; 59509456300; 57214670012; 57191668511; 59497352900","Extending UTAUT Through Moderating Effects of Digitalization on the Audit Profession","2025","Studies in Systems, Decision and Control","568","","","1165","1180","1","10.1007/978-3-031-71526-6_102","https://www.scopus.com/pages/publications/85214678219?origin=resultslist","Technology has brought about many changes in the way and manner in which businesses operate, among which service-providing businesses like taxis, restaurants, and audit professions, to mention a few. To date, auditors have no option but to consider digitalization as part of the audit approach. As a result, the current study aims to examine the adoption of technology in audit by extending the Unified Theory of Acceptance and Use of Technology (UTAUT) through the moderating effects of digitalization on the audit profession in Nigeria. The study used UTAUT to investigate the effect of digitization, artificial intelligence, robotic process automation, intention, and efficacy on the audit profession in Nigeria. The study used quantitative data collected through questionnaires distributed to members of the Institute of Chartered Accountants of Nigeria (ICAN) and the Association of National Accountants of Nigeria (ANAN). In terms of analysis, the study used structural equation modelling (SEM) for the major analysis using AMOS software. Among the major findings of the study are that there is a substantial correlation between exogenous constructs, digitalization, and the audit profession. And that new equipment substantially impacts the audit profession in Nigeria. The study also found that employees with new skills had a substantial impact on the audit profession in Nigeria. The policy implication of the study is that government and accounting professional bodies in Nigeria should plan to provide technological support to auditors, thereby encouraging those who are yet to adopt technology in conducting their work, which will overall increase the efficiency and effectiveness of the audit profession. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Book chapter","Final","","Scopus","2-s2.0-85214678219"
"Kumar N.S.R.P.; Reddy C.M.; Kumar P.V.; Gupta P.K.; Arora R.; Patel R.","Kumar, N.S.R. Phanindra (60569024100); Reddy, Chilukala Mahender (57215910893); Kumar, Pinnamaraju Veeresh (60568803300); Gupta, P.K. (60569024200); Arora, Rachit (60567890500); Patel, Rohit (59703884300)","60569024100; 57215910893; 60568803300; 60569024200; 60567890500; 59703884300","Elevating Travel: A Complete Analysis of Airport Automation and Its Effect on Passenger Experience","2025","2025 5th International Conference on Advancement in Electronics and Communication Engineering, AECE 2025","","","","184","189","0","10.1109/AECE67531.2025.11386581","https://www.scopus.com/pages/publications/105035231129?origin=resultslist","Digitization and automation of airports represent the necessary element in the context of the challenges the travel industry is currently experiencing. The travel business is incredibly adaptable despite the recent disappointments as evident in the current digital revolution. This is driven by the fact that the reduced waiting time and improved identity verification processes will lead to the overall experience of the traveler being significantly enhanced. This research specifically centers on how the systems controlling the identity of travelers should be coordinated, and it is in this regard that the government border agencies, the airlines, and the airports must work in harmony. To achieve a truly frictionless passenger experience, it is necessary to integrate a number of touchpoints, including check-in, and boarding. The aims of this automation investment include the maximization of the allocation of resources, the overall experience of the customers, and quicker passengers flow. © 2025 IEEE.","Conference paper","Final","","Scopus","2-s2.0-105035231129"
"Ramai D.; Mohammed P.S.","Ramai, Divindra (58558643400); Mohammed, Phaedra S. (17345969400)","58558643400; 17345969400","Using Automatic and Semi-automatic Methods for Digitizing the Dictionary of Trinidad and Tobago English/Creole into a Graph Database","2023","Communications in Computer and Information Science","1834 CCIS","","","133","140","0","10.1007/978-3-031-35998-9_19","https://www.scopus.com/pages/publications/85169466071?origin=resultslist","The Dictionary of Trinidad & Tobago English/Creole (DTTE/C) is the first scholarly dictionary to cover the lexicon of three of the languages of Trinidad & Tobago that are all regarded as low-resourced languages. There have been no successful attempts, prior, to efficiently digitize the dictionary for adoption and use in research communities within the broad field of Artificial Intelligence. As such, this paper presents the work done to produce an efficient DTTE/C digitisation framework using a series of automatic and semi-automatic methods. Through detailed modeling of the dictionary as a graph structure, the research uses graph database technology for the generation of a DTTE/C knowledge graph and lexical semantic layering by referencing upper level concepts in the SUMO ontology. Fauna datasets consisting of entries from Mollusc, Crustacean and Mammal categories were successfully modeled in the graph with F1 scores of 0.929, 0.886, and 0.987 respectively for headwords. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.","Conference paper","Final","","Scopus","2-s2.0-85169466071"
"Khurana M.; Alsalami Z.; Deorari M.M.; Maheswari G.; Soujanya K.; Arunprasath R.","Khurana, Meenu (59760602500); Alsalami, Zaid (58949240400); Deorari, Maha Medha (57900462700); Maheswari, G. (58626546700); Soujanya, K. (58443655200); Arunprasath, R. (57210569089)","59760602500; 58949240400; 57900462700; 58626546700; 58443655200; 57210569089","Automation Industry Control Strategy Implementation through Intelligent Automation System","2024","2024 4th International Conference on Advance Computing and Innovative Technologies in Engineering, ICACITE 2024","","","","852","856","0","10.1109/ICACITE60783.2024.10616897","https://www.scopus.com/pages/publications/85201818325?origin=resultslist","The mobile network evolution of this century faces an unprecedented challenge upon the advent of 5G (fifth-generation) networks and beyond to cater to different demands on automation and digitization. Indeed, one expects that these networks will have to support a very heterogeneous set of services and devices with peculiar demands in terms of speed, reliability and latency. It is required to solve these issues with advanced technologies in radio transmission, resource allocation, and network creation, which in turn raises the complexity and heterogeneity of the network infrastructure. One promising approach is to integrate automation and digitization based on artificial intelligence technologies. In particular, AI has shown great potential in solving various network-related problems such as predicting channel conditions, optimizing resource allocations, autonomously managing networks, and enhancing security. However, the current efforts to integrate AI into wireless networks often result in using specific AI algorithms to solve specific problems, since there is a lack of an integral framework to fully exploit the capability of AI for various network missions. This work builds upon the concept of intelligence slicing and proposes an absolutely new way of slicing the intelligence module to cater to the solution of different network problems in an automated and digitized way. Different AI algorithms can, therefore, be applied to the best extent required by the context in a way that provides flexibility and scalability in network management and optimization. By means of intelligence slicing, the network operator is going to utilize AI functions to achieve performance, reliability, and security in 5G mobile networks and beyond. Two representative examples are introduced to illustrate the effectiveness of intelligence slicing: the neural network-dependent medium prediction mechanism and anomaly ascertainment from the perspective of industrial network security. The concept of intelligence slicing and automation, on the other hand, is provided for the realization of the overall promise of Al for wireless networks. This is because it is a flexible and scalable solution for network management, optimization, and security beyond mobile into the 5 G era. © 2024 IEEE.","Conference paper","Final","","Scopus","2-s2.0-85201818325"
"Mitra N.; Banerjee A.","Mitra, Nayantara (57907163200); Banerjee, Ayanita (57221326579)","57907163200; 57221326579","A Study on Using AI in Promoting English Language Learning","2023","Lecture Notes in Networks and Systems","490","","","287","297","7","10.1007/978-981-19-4052-1_30","https://www.scopus.com/pages/publications/85138762980?origin=resultslist","The transformation in the way we live, work, and learn is characterised by the fast proliferation of technology and digital applications. It is a revolution propelled by the convergence and amplification of coming achievements in artificial intelligence, automation, and robotics, and amplified by the widespread connectedness of billions of people with mobile devices that provide unparalleled access to data and information. When AI is brought up in a classroom setting, it may be rather daunting. AI is commonly thought to relate to the collection and use of data. Whilst this is true, the purpose of this article is to demystify the background and demonstrate the most practical ways in which language instructors may employ AI in the ELT classroom. The goal of this research is to show how successful AI-based instructional programmes are in teaching and learning English. It is impossible to prove effectiveness without putting it to the test in the real world. Digitalization has become an integral element of our daily lives. It is regarded as the world’s unavoidable feature and driving force. Due to technology advancements and their applications, the world has achieved significant progress in a multitude of fields. Education, being one of the most important industries, has adopted a variety of techniques over time. In teaching and learning, trial and error are constantly present. In ELT classes, Information and Communications Technology (ICT)-based technology and gadgets have already been utilised. The most important and user-friendly AI-based strategies may help teachers make English language education more fascinating, interactive, dynamic, and joyful. It is certain that Artificial Intelligence would affect the entire educational system’s view in the future (Bernard Marr and Matt Ward, Artificial Intelligence in Practice, UK, 2019, Print). © 2023, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","Conference paper","Final","","Scopus","2-s2.0-85138762980"
"Tanwar N.; Kumar S.; Choudhary S.","Tanwar, Neha (59817907700); Kumar, Sandeep (57234304400); Choudhary, Shilpa (57209414479)","59817907700; 57234304400; 57209414479","Impact of Technology on Daily Food Habits and Their Effectson Health","2024","Optimized Predictive Models in Health Care Using Machine Learning","","","","1","20","3","","https://www.scopus.com/pages/publications/85192874327?origin=resultslist","In this modern and busy lifestyle, we all look for ready-to-eat food. Food industries turn toward full automation to provide ready food nowadays. Prepared and packed food has an impact on health in the modern lifestyle with eating habits consumers seeking the technology viz. food diets application, online food delivery systems, and robotic food making machines. In this chapter, we have discussed the impacts of technology on daily food habits. The importance of technology in the food industry and its problems are highlighted in this chapter, with a focus on artificial intelligence, bioinformatics, 3D printing, sustainable applications of functional and nutraceutical food, and the need for a coordinated regulatory framework. The natural nutrients included in food, including carbs, proteins, vitamins, fats, antioxidants, and minerals, are necessary for the body parts to work normally physiologically. Achieving good health from sustainable food systems for the people is one of the most significant issues facing our world today. This chapter also focuses on different processed foods and their health impacts. © 2024 Scrivener Publishing LLC.","Book chapter","Final","","Scopus","2-s2.0-85192874327"
"Heinemann G.","Heinemann, Gerrit (53872584500)","53872584500","Intelligent Retail: The Future of Stationary Retail","2022","Intelligent Retail: The Future of Stationary Retail","","","","1","374","1","10.1007/978-3-658-38316-9","https://www.scopus.com/pages/publications/85167666424?origin=resultslist","This book shows stationary retail a way to reinvent itself after Corona, in order to be able to survive against the strong competition of online retail. The focus is on the central issues that will shape the retail of the future. For example, brick-and-mortar retail in particular must now work with intelligent systems based on data and adopt or even surpass methods that the large online marketplaces have been using successfully for a very long time. In this regard, artificial intelligence also plays a major role in retail. This is not just about automation and robots taking over tasks, but also about instruments and machines being able to learn and draw conclusions themselves in all retail functions. This is becoming increasingly difficult because our shopping and search behavior is constantly changing. Therefore, a customer should receive intelligent recommendations in the store, which are also based on his already known interests and behavior patterns. Gerrit Heinemann shows how intelligent action can save stationary retail in city centres and shopping centres. The content - From stationary Retail to intelligent Retail - Threats to the stationary retail trade - Basic requirements and manifestations of intelligent Retail - Examples of intelligent retail of the future - Risks for intelligent Retail. © The Editor(s) (if applicable) and The Author(s), under exclusive licence to Springer Fachmedien Wiesbaden GmbH, part of Springer Nature 2023.","Book","Final","","Scopus","2-s2.0-85167666424"
"Knappertsbusch I.; Gondlach K.","Knappertsbusch, Inka (58293364000); Gondlach, Kai (58596791200)","58293364000; 58596791200","Work and AI 2030: Challenges and Strategies for Tomorrow’s Work","2023","Work and AI 2030: Challenges and Strategies for Tomorrow’s Work","","","","1","381","3","10.1007/978-3-658-40232-7","https://www.scopus.com/pages/publications/85171512408?origin=resultslist","In ten years, we will take working with artificial intelligence (AI) more for granted than using cell phones today. 78 recognized experts from practice and research provide deep insights and outlooks regarding the influence of AI on everyday working life in 2030, explaining with practical tips how you can prepare for this development. The 41 concise articles cover a broad spectrum in the area examined in each case. Thanks to a standardized structure, they include a summary of the status quo, concrete examples, future expectations, an overview of challenges and possible solutions, and practical tips. The volume begins with societal and ethical issues before discussing legal considerations for employers and HR professionals, as well as the administration of justice. The other chapters examine the impact of AI on the world of work in 2030 in the sectors of business, industry, mobility and logistics, medicine and pharmaceuticals, and (further) education. © The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Fachmedien Wiesbaden GmbH, part of Springer Nature 2023.","Book","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85171512408"
"De-Gracia-Soriano P.; Jiménez-Loaisa F.J.; Jareño-Ruiz D.","De-Gracia-Soriano, Pablo (57222955032); Jiménez-Loaisa, Francisco Javier (58633643600); Jareño-Ruiz, Diana (57194532879)","57222955032; 58633643600; 57194532879","Social acceleration, trust in AI, and their implications for quality of life in the digital era","2025","Multidisciplinary Movements in AI and Generative AI: Society, Business, Education","","","","35","48","0","10.4337/9781035358663.00010","https://www.scopus.com/pages/publications/105033839379?origin=resultslist","This chapter examines the interplay between social acceleration and trust in artificial intelligence (AI) and its effects on the quality of life in the digital era. In a society characterized by constant change, driven by rapid technological advancements and an increasing reliance on technology, the relationships between swift social transformation, trust in AI, and its impact on everyday life, are of paramount importance. The concept of social acceleration, as proposed by theorists such as Hartmut Rosa, delineates the accelerated expansion of temporal structures in modern society. This acceleration has been exacerbated by technological advances such as automation and digitization, which have fundamentally altered how we live, work, and relate. Trust in science and technology plays a pivotal role in this relationship. Modern societies have placed their trust in science as a driver of progress and enhancer of the quality of life. However, the technological acceleration characteristic of late modernity can erode this trust if ethical and social concerns related to AI are not adequately addressed. Studies on trust in science have become indispensable for understanding how people perceive and embrace these emerging technologies. The advent of generative intelligence, such as ChatGPT, has introduced new challenges. These technologies have the potential to enhance creativity, productivity, and access to information. Nevertheless, they have also raised concerns regarding privacy, mental health, and quality of life. Understanding these relationships is essential for addressing emerging challenges in a rapidly evolving digital world. This involves considering and reflecting on both the benefits and implications for the quality of life and mental health of individuals when adopting these technologies, with the aim of striking a balance between technological progress and human well-being. © The Editors and Contributors Severally 2025.","Book chapter","Final","","Scopus","2-s2.0-105033839379"
"Muñoz M.M.","Muñoz, Miguel Moreno (26644393900)","26644393900","Unconventional cognitive enhancement options addressing structural unemployment in the technological context of the fourth industrial revolution; [Opciones de mejora cognitiva no convencional como respuesta al desempleo estructural en el contexto tecnológico de la cuarta revolución industrial]","2016","Gazeta de Antropologia","32","2","","","","2","","https://www.scopus.com/pages/publications/84995598423?origin=resultslist","In this contribution I analyze the effects on the automation of work induced by technologies associated with the fourth industrial revolution, and the opportunities they open for certain programs of unconventional cognitive enhancement. The methodology applied starts with a characterization of the technological potential associated with several stages in the process of mechanization and automation to the present day, reviewing the basic literature in order to better understand the specific potential of the last innovations. This approach allows a more consistent integration of three elements often found scattered in the literature: 1) the potential linked to technologies of the fourth industrial revolution; 2) some studies and reports about the structural unemployment, as a phenomenon and trend that characterizes contemporary societies; and 3) recent studies on the progressive gap between technological development and the dynamics of adaptation/transformation of educational systems during the second half of the twentieth century. As a working hypothesis, I consider that the gap referred has increased as a result of digitization and incorporation of artificial intelligence in the development of robotic systems, in some cases with capacities that compete or exceed those of skilled workers in many activities. Discarded certain attempts of cognitive enhancement for the risks in its current phase of development, I argue that the evolution of indicators of efficiency in public and private educational systems over the last decade justifies the interest in unconventional cognitive enhancement programs-and I try to outline one-, as a complement to the ongoing reforms.","Article","Final","","Scopus","2-s2.0-84995598423"
